name,country,quality_of_life_index,safety_index,cost_of_living_index,climate_index
Eindhoven,Netherlands,216.39,74.89,71.79,85.38
Zurich,Switzerland,204.42,81.73,126.87,81.48
Copenhagen,Denmark,194.51,76.17,84.59,83.74
Luxembourg,Luxembourg,193.24,74.51,89.64,82.62
Vienna,Austria,193.07,77.45,69.12,80.35
Edinburgh,United Kingdom,190.43,69.13,69.5,84.01
Reykjavik,Iceland,190.37,79.29,102.2,68.81
Munich,Germany,188.48,83.02,73.37,75.98
Geneva,Switzerland,187.84,72.11,118.87,82.61
Cork,Ireland,186.62,69.84,72.43,89.78
Helsinki,Finland,186.4,77.42,78.33,62.79
Gothenburg,Sweden,185.31,56.49,71.49,77.49
Glasgow,United Kingdom,183.26,55.14,64.25,84.78
Stuttgart,Germany,181.75,74.78,66.6,81.07
The Hague (Den Haag),Netherlands,181.01,70.58,76.41,90.61
Rotterdam,Netherlands,178.32,63.89,70.59,87.89
Valencia,Spain,178.01,69.84,54.06,93.84
Hamburg,Germany,177.64,53.39,72.84,82.75
Cologne,Germany,177.21,58.71,67.19,84.85
Bristol,United Kingdom,176.87,60.41,69.07,88.51
Tallinn,Estonia,175.51,79.48,52.8,64.28
Leeds,United Kingdom,175.02,57.38,65.1,84.59
Amsterdam,Netherlands,173.29,65.52,80.88,87.45
Frankfurt,Germany,172.95,55.88,70.81,84.72
Ljubljana,Slovenia,171.22,77.24,54.94,77.14
Gent,Belgium,168.62,75.08,73.71,88.72
Berlin,Germany,166.8,60.19,68.62,83.35
Oslo,Norway,166.49,61.61,101.9,59.99
Stockholm,Sweden,166.45,52.82,78.75,69.67
Gdansk,Poland,164.78,68.23,41.65,75.51
Brno,Czech Republic,164.58,73.26,46,78.17
Zagreb,Croatia,162.04,75.68,51.12,81.82
Prague,Czech Republic,159.16,74.05,48.4,80.67
Vilnius,Lithuania,158.85,70.82,48.26,66.59
Antwerp,Belgium,157.9,64.93,72.18,85.42
Birmingham,United Kingdom,157.35,44.32,63.07,87.66
Porto,Portugal,155.43,58.54,50.98,96.61
Cluj-Napoca,Romania,155.06,78.84,37.81,74.35
Nizhny Novgorod,Russia,151.74,75.71,38.57,45.51
Brussels,Belgium,150.85,50.6,75.45,83.85
Madrid,Spain,150.74,64.85,60.48,85.47
Poznan,Poland,149.89,73.45,39.58,77.41
Bratislava,Slovakia,149.82,69.72,48.4,80.72
Lisbon,Portugal,149.54,69.22,53.67,98.59
Manchester,United Kingdom,147.53,44.19,67.68,86.95
Dublin,Ireland,146.98,49.55,77.39,85.89
Timisoara,Romania,144.87,74.82,37.26,82.05
Warsaw,Poland,144.58,73.41,42.64,74.61
Riga,Latvia,143.82,62.62,50.37,74.7
Minsk,Belarus,143.39,77.01,33.4,64.37
Barcelona,Spain,141.85,57.25,60.2,95.73
Wroclaw,Poland,141.01,70.04,41.02,78.39
Varna,Bulgaria,137.25,68.24,38.52,85.08
Iasi,Romania,134.81,74.56,36.08,73.04
Krakow (Cracow),Poland,134.79,71.16,40.43,73.86
Novi Sad,Serbia,133.07,57.7,34.76,84.02
Thessaloniki,Greece,131.87,65.05,56.49,88.39
Turin,Italy,129.74,42.69,68.64,85.66
Milan,Italy,127.59,55.58,72.64,88.12
Sofia,Bulgaria,127.34,55.71,40.17,76.01
Athens,Greece,126.58,51.89,58.31,95.18
Budapest,Hungary,126.07,63.49,45.56,78.41
London,United Kingdom,125.67,48.52,81.4,88.25
Paris,France,125.09,47.98,84.27,88.39
Bucharest,Romania,120.77,72.26,39.6,75.61
Lviv,Ukraine,115.36,61.56,26.93,69.61
Belgrade,Serbia,112.44,62.75,39.3,84.14
Saint Petersburg,Russia,111.59,60.11,37.22,60.64
Rome,Italy,110.01,46.99,69.84,93.7
Sarajevo,Bosnia And Herzegovina,108.09,48.9,39.11,78.18
Skopje,Macedonia,105.46,55.19,34.38,76.3
Moscow,Russia,105.39,58.49,41.46,55.83
Kiev,Ukraine,104.51,52,30.27,69.95
Odessa,Ukraine,102.76,47.43,29.25,79
Kharkiv,Ukraine,101.99,55.42,27.34,65.35
Yekaterinburg,Russia,96.75,51.57,34.33,21.33
Dnipro,Ukraine,94.31,44.94,28.72,69.52
Novosibirsk,Russia,90,55.05,32.1,16.14
Raleigh,United States,223.4,70.73,71.03,83.88
Madison,United States,204.8,72.41,65.43,51.64
Charlotte,United States,201.99,56.04,75.22,84.05
Columbus,United States,198.72,58.2,67.92,71.29
Ottawa,Canada,196.71,75.17,66,44.46
Dallas,United States,196.38,50.85,66.56,81.85
Austin,United States,194.53,65.62,70.42,82.08
Victoria,Canada,194.21,68.79,68.27,92.52
San Diego,United States,192.3,63.26,73.35,97.08
Richmond,United States,192.16,57.43,67.67,81.27
Quebec City,Canada,191.33,85.78,65.83,47.98
San Antonio,United States,189.46,53.48,63.95,80.58
Portland,United States,189.24,53.91,76.44,89.56
Kansas City,United States,186.84,40.6,69.94,75.08
Seattle,United States,186.08,54.32,85.9,91.73
Jacksonville,United States,185.93,41.87,69.63,87.81
San Jose,United States,184.74,57.64,79.5,95.53
Tampa,United States,181.87,50.49,70.23,84.67
Nashville,United States,181.83,52.04,68.02,83.02
Sacramento,United States,181.67,51.03,79.19,90.64
Saint Louis,United States,181.64,32.65,66.01,74.75
Spokane,United States,181.27,48,68.92,67.12
Cincinnati,United States,181.12,50.89,64.25,73.24
Oakland,United States,180.09,35.26,84.66,96.4
Boston,United States,178.91,66.31,86.21,71.73
Minneapolis,United States,178.3,50.76,76.54,49.46
Salt Lake City,United States,177.87,74.74,64.3,66.52
Albuquerque,United States,176.75,31.22,65.49,67.06
San Francisco,United States,176.18,51.17,91.8,97.26
Kelowna,Canada,175.81,52.11,67.48,59.65
Tucson,United States,175.67,47.98,69.26,72.66
Pittsburgh,United States,174.33,63.99,74.15,72.13
Edmonton,Canada,173.66,58.4,67.75,32.11
Halifax,Canada,172.44,57.78,68.95,58.99
Vancouver,Canada,171.45,64.03,68.47,91.15
Houston,United States,169.01,38.74,63.9,85.53
Denver,United States,168.91,58.33,71.24,56.28
Orlando,United States,168.69,44.83,70.63,87.23
Indianapolis,United States,167.04,44.76,67.61,69.92
Washington,United States,166.91,42.94,92.22,81.62
Hamilton,Canada,166.69,51.34,60.22,61.06
Cleveland,United States,166.4,33.04,71.69,73.11
Montreal,Canada,166.37,68.84,63.84,52.37
Atlanta,United States,166.21,37.3,74.05,89.73
Baltimore,United States,165.86,28.72,75.11,81.24
Honolulu,United States,165.02,56.03,97.18,95.33
Phoenix,United States,160.44,46.33,67.19,53.76
Chicago,United States,157.79,35.21,78.16,66.11
Milwaukee,United States,157.73,34.88,70.57,60.96
Las Vegas,United States,156.18,43.52,69.02,57.4
Philadelphia,United States,153.03,41.13,85.59,77.98
Toronto,Canada,152.57,63.88,80.88,65.35
Los Angeles,United States,151.7,54.17,78.75,95.5
Miami,United States,150.57,47.84,80.07,85.69
Regina,Canada,150.53,44.09,67.48,14.28
Winnipeg,Canada,147.46,44.44,61.43,24.67
Brasilia,Brazil,142.61,36.46,46.73,98.97
San Juan,Puerto Rico,141.83,29.93,67.46,71.25
New York,United States,141.52,56.37,100,79.66
Curitiba,Brazil,136.25,36.03,41.43,99.6
Detroit,United States,133,27.91,60.93,66.03
Monterrey,Mexico,129.76,48.71,36.37,80.37
Montevideo,Uruguay,128.33,45.55,57.52,98.04
Campinas,Brazil,126.1,32.43,46.39,98.87
Medellin,Colombia,122.95,53.77,31.15,99.76
Quito,Ecuador,122.65,45.92,45.68,98.97
Guadalajara,Mexico,121.06,42.42,33.6,92.83
Santiago,Chile,116.47,49.44,52.99,90.21
San Jose,Costa Rica,113.67,43.44,56.64,99.48
Porto Alegre,Brazil,112.94,22.29,42.47,98.74
Buenos Aires,Argentina,112.82,37.12,34.64,98.28
Panama City,Panama,112.55,55.09,56.17,67.84
Guatemala City,Guatemala,111.6,39.22,43.84,99.89
Belo Horizonte,Brazil,110.2,33.59,42.6,98.5
Mexico City,Mexico,93.2,31.61,35.77,92.37
Bogota,Colombia,91.61,39.54,33.95,97.12
Lima,Peru,82.84,32.01,41,97.69
Sao Paulo,Brazil,79.73,28.4,45.62,99.04
Rio de Janeiro,Brazil,73.86,22.13,46.09,88.22
Caracas,Venezuela,0,16.6,26.12,99.93
Edinburgh,United Kingdom,190.92,69.48,72.12,84.01
Liverpool,United Kingdom,190.36,56.92,62.85,90.87
Cambridge,United Kingdom,183.01,78.09,74.77,91.37
Glasgow,United Kingdom,181.09,54.3,66.87,84.78
Bristol,United Kingdom,176.79,60.7,73.07,88.51
Leeds,United Kingdom,174.11,56.61,68.22,84.59
Birmingham,United Kingdom,156.24,42.35,66.69,87.66
Manchester,United Kingdom,147.79,44.78,71.93,86.95
London,United Kingdom,111.15,48.02,84.66,88.25
Raleigh,United States,223.4,70.73,71.03,83.88
Madison,United States,204.8,72.41,65.43,51.64
Charlotte,United States,201.99,56.04,75.22,84.05
Columbus,United States,198.72,58.2,67.92,71.29
Dallas,United States,196.98,50.85,66.17,81.85
Austin,United States,194.53,65.62,70.42,82.08
San Diego,United States,192.3,63.26,73.35,97.08
Richmond,United States,192.16,57.43,67.67,81.27
San Antonio,United States,189.46,53.48,63.95,80.58
Portland,United States,189.24,53.91,76.44,89.56
Kansas City,United States,186.84,40.6,69.94,75.08
Seattle,United States,186.08,54.32,85.9,91.73
Jacksonville,United States,185.93,41.87,69.63,87.81
San Jose,United States,184.74,57.64,79.5,95.53
Tampa,United States,181.87,50.49,70.23,84.67
Nashville,United States,181.83,52.04,68.02,83.02
Sacramento,United States,181.67,51.03,79.19,90.64
Saint Louis,United States,181.64,32.65,66.01,74.75
Spokane,United States,181.27,48,68.92,67.12
Cincinnati,United States,181.12,50.89,64.25,73.24
Oakland,United States,180.09,35.26,84.66,96.4
Boston,United States,179.07,66.63,86.21,71.73
Minneapolis,United States,178.3,50.76,76.54,49.46
Salt Lake City,United States,177.87,74.74,64.3,66.52
Albuquerque,United States,176.75,31.22,65.49,67.06
San Francisco,United States,176.18,51.17,91.8,97.26
Tucson,United States,175.67,47.98,69.26,72.66
Pittsburgh,United States,174.33,63.99,74.15,72.13
Houston,United States,169.01,38.74,63.9,85.53
Denver,United States,168.91,58.33,71.24,56.28
Orlando,United States,168.69,44.83,70.63,87.23
Indianapolis,United States,167.04,44.76,67.61,69.92
Washington,United States,166.91,42.94,92.22,81.62
Cleveland,United States,166.4,33.04,71.69,73.11
Atlanta,United States,166.21,37.3,74.05,89.73
Baltimore,United States,165.86,28.72,75.11,81.24
Honolulu,United States,165.02,56.03,97.18,95.33
Phoenix,United States,160.44,46.33,67.19,53.76
Chicago,United States,157.79,35.21,78.16,66.11
Milwaukee,United States,157.73,34.88,70.57,60.96
Las Vegas,United States,156.18,43.52,69.02,57.4
Philadelphia,United States,153.03,41.13,85.59,77.98
Los Angeles,United States,151.7,54.17,78.75,95.5
Miami,United States,150.57,47.84,80.07,85.69
New York,United States,141.52,56.37,100,79.66
Detroit,United States,133,27.91,60.93,66.03
Oxford,United Kingdom,157.35,66.57,74.03,83.55